130322,130300,昌黎县,"中国,河北省,秦皇岛市,昌黎县",昌黎,"中国,河北,秦皇岛,昌黎",3,0335,066600,Changli,CL,C,119.16595,39.70884,行政区,
130324,130300,卢龙县,"中国,河北省,秦皇岛市,卢龙县",卢龙,"中国,河北,秦皇岛,卢龙",3,0335,066400,Lulong,LL,L,118.89288,39.89176,行政区,
130325,130300,北戴河新区,"中国,河北省,秦皇岛市,北戴河新区",北戴河新区,"中国,河北,秦皇岛,北戴河新区",3,0335,066311,Beidaihexinqu,BDH,B,119.386541,39.76748,,新区
130400,130000,邯郸市,"中国,河北省,邯郸市",邯郸,"中国,河北,邯郸",2,0310,056000,Handan,HD,H,114.490686,36.612273,行政区,
130402,130400,邯山区,"中国,河北省,邯郸市,邯山区",邯山,"中国,河北,邯郸,邯山",3,0310,056000,Hanshan,HS,H,114.48375,36.60006,行政区,
130403,130400,丛台区,"中国,河北省,邯郸市,丛台区",丛台,"中国,河北,邯郸,丛台",3,0310,056000,Congtai,CT,C,114.49343,36.61847,行政区,
130404,130400,复兴区,"中国,河北省,邯郸市,复兴区",复兴,"中国,河北,邯郸,复兴",3,0310,056000,Fuxing,FX,F,114.45928,36.61134,行政区,
130406,130400,峰峰矿区,"中国,河北省,邯郸市,峰峰矿区",峰峰矿区,"中国,河北,邯郸,峰峰矿区",3,0310,056200,Fengfengkuangqu,FFKQ,F,114.21148,36.41937,行政区,
130407,130400,肥乡区,"中国,河北省,邯郸市,肥乡区",肥乡,"中国,河北,邯郸,肥乡",3,0310,057550,Feixiang,FX,F,114.79998,36.54807,行政区,
130408,130400,永年区,"中国,河北省,邯郸市,永年区",永年,"中国,河北,邯郸,永年",3,0310,057150,Yongnian,YN,Y,114.48925,36.78356,行政区,
130423,130400,临漳县,"中国,河北省,邯郸市,临漳县",临漳,"中国,河北,邯郸,临漳",3,0310,056600,Linzhang,LZ,L,114.6195,36.33461,行政区,
130424,130400,成安县,"中国,河北省,邯郸市,成安县",成安,"中国,河北,邯郸,成安",3,0310,056700,Cheng'an,CA,C,114.66995,36.44411,行政区,
130425,130400,大名县,"中国,河北省,邯郸市,大名县",大名,"中国,河北,邯郸,大名",3,0310,056900,Daming,DM,D,115.15362,36.27994,行政区,
130426,130400,涉县,"中国,河北省,邯郸市,涉县",涉县,"中国,河北,邯郸,涉县",3,0310,056400,Shexian,SX,S,113.69183,36.58072,行政区,
130427,130400,磁县,"中国,河北省,邯郸市,磁县",磁县,"中国,河北,邯郸,磁县",3,0310,056500,Cixian,CX,C,114.37387,36.37392,行政区,
130430,130400,邱县,"中国,河北省,邯郸市,邱县",邱县,"中国,河北,邯郸,邱县",3,0310,057450,Qiuxian,QX,Q,115.17407,36.82082,行政区,
130431,130400,鸡泽县,"中国,河北省,邯郸市,鸡泽县",鸡泽,"中国,河北,邯郸,鸡泽",3,0310,057350,Jize,JZ,J,114.8742,36.92374,行政区,
130432,130400,广平县,"中国,河北省,邯郸市,广平县",广平,"中国,河北,邯郸,广平",3,0310,057650,Guangping,GP,G,114.94653,36.48046,行政区,
130433,130400,馆陶县,"中国,河北省,邯郸市,馆陶县",馆陶,"中国,河北,邯郸,馆陶",3,0310,057750,Guantao,GT,G,115.29913,36.53719,行政区,
130434,130400,魏县,"中国,河北省,邯郸市,魏县",魏县,"中国,河北,邯郸,魏县",3,0310,056800,Weixian,WX,W,114.93518,36.36171,行政区,
130435,130400,曲周县,"中国,河北省,邯郸市,曲周县",曲周,"中国,河北,邯郸,曲周",3,0310,057250,Quzhou,QZ,Q,114.95196,36.77671,行政区,
130481,130400,武安市,"中国,河北省,邯郸市,武安市",武安,"中国,河北,邯郸,武安",3,0310,056300,Wu'an,WA,W,114.20153,36.69281,行政区,
130482,130400,高新技术产业开发区,"中国,河北省,邯郸市,高新技术产业开发区",高新技术产业开发区,"中国,河北,邯郸,高新技术产业开发区",3,0310,056000,GaoXinKaiFaQu,GXKFQ,G,114.566033,36.675235,,经济技术开发区
130500,130000,邢台市,"中国,河北省,邢台市",邢台,"中国,河北,邢台",2,0319,054000,Xingtai,XT,X,114.508851,37.0682,行政区,
130502,130500,桥东区,"中国,河北省,邢台市,桥东区",桥东,"中国,河北,邢台,桥东",3,0319,054000,Qiaodong,QD,Q,114.50725,37.06801,行政区,
130503,130500,桥西区,"中国,河北省,邢台市,桥西区",桥西,"中国,河北,邢台,桥西",3,0319,054000,Qiaoxi,QX,Q,114.46803,37.05984,行政区,
